"透家子","透家子","tòu jiā zǐ",,,,,"schlauer Kerl (u.E.) (S",,
"相應的","相应的","xiāng yīng de",,,,,"entsprechend (u.E.) (Adv",,
"外貿易","外贸易","wài mào yì",,,,,"Außenhandel (u.E.) (S, Wirtsch",,
"往裡走","往里走","wǎng lǐ zǒu",,,,,"nach hinten durchgehen (im Bus o.ä.) (u.E.) (V",,
"依職權","依职权","yī zhí quán",,,,,"von Amts wegen (u.E.",,
"體重計","体重计","tǐ zhòng jì",,,,"weighing scale",,"Balance (instrument)",
"被喜好","被喜好","bèi xǐ hǎo",,,,,"bevorzugen (u.E.) (V)
bevorzugt (u.E.) (Adj",,
"神奈川","神奈川","shén nài chuān",,,,"Kanagawa, Japan",,"Préfecture de Kanagawa",
"丹科夫","丹科夫","dān kē fú",,,,,,"Dankov",
"雙角犀","双角犀","shuāng jiǎo xī",,,,"two-horned rhinoceros
Dicerorhinini",,"rhinocéros à deux cornes
Dicerorhinini",
"蹦出來","蹦出来","bèng chū lai",,,,"to crop up
to pop up
to emerge abruptly",,"surgir
apparaître
émerger brusquement",
"掛號信","挂号信","guà hào xìn",,,,"registered letter","Einschreiben, Einschreibebrief (u.E.) (S","lettre recommandée",
"吳淸源","吴清源","wú qīng yuán",,,,,"Go Seigen (u.E.) (Eig, Pers, 1914 - ",,
"二把刀","二把刀","èr bǎ dāo",,,,"inexpert
a botcher",,"inexpérimenté
gâcheur",
"開玩笑","开玩笑","kāi wán xiào",,,,"to play a joke
to make fun of
to joke","scherzen, Witze machen (u.E.) (V","plaisanter
blaguer
se moquer",
"周莊鎮","周庄镇","zhōu zhuāng zhèn",,,,"Zhouzhuang, east suburb of Jiangyin 江陰市|江阴市, Wuxi, Jiangsu, famous beauty spot near Taihu lake 太湖",,,
"南岔區","南岔区","nán chà qū",,,,"Nancha district of Yichun city 伊春市[Yī chūn shì], Heilongjiang",,"District de Nancha",
"烹飪術","烹饪术","pēng rèn shù",,,,,"Kochkunst (u.E.) (Adj",,
"提告人","提告人","tí gào rén",,,,"plaintiff",,"demandeur",
"加減速","加减速","jiā jiǎn sù",,,,,"Hochfahren und Herunterfahren (u.E.) (Math",,
"裂化氣","裂化气","liè huà qì",,,,,"Krackgas (u.E.",,
"大五碼","大五码","dà wǔ mǎ",,,,"Big5 Chinese character coding (developed by Taiwanese companies from 1984)",,"Big5",
"下館子","下馆子","xià guǎn zǐ",,,,,"in die Kneipe
das Wirtshaus gehen
trinken gehe",,
"好奇心","好奇心","hào qí xīn",,,,"interest in sth
curiosity
inquisitive","Neugier, Neugierde (u.E.) (S)
neugierig, wissbegierig (u.E.) (Adj","intérêt à
curiosité
curieux",
"可愛的","可爱的","kě ài de",,,,,"bezaubernd (u.E.",,
"可選擇","可选择","kě xuǎn zé",,,,,"freistellen (u.E.) (V",,
"微靜脈","微静脉","wēi jìng mài",,,,"capillary vein",,,
"最惠國","最惠国","zuì huì guó",,,,"most-favored nation (trade status)",,"nation la plus favorisée
la nation la plus favorisée
nation la plus favorisée",
"利斯廷","利斯廷","lì sī tíng",,,,,,"Johann Benedict Listing",
"棒子麵","棒子面","bàng zi miàn",,,,"maize cornflour
corn mush
polenta",,"farine de maïs
bouillie de maïs
polenta",
"上半年","上半年","shàng bàn nián",,,,"first half (of a year)","erstes Halbjahr (u.E.) (S","première moitié (d'une année)",
"伯明翰","伯明翰","bó míng hàn",,,,"Birmingham","Birmingham (u.E.) (Geo","Birmingham",
"小孩似","小孩似","xiǎo hái shì",,,,,"kindlich (u.E.) (Adj",,
"阿加維","阿加维","ā jiā wéi",,,,"see 阿爾加維|阿尔加维[ā ěr jiā wéi]",,"L'Algarve",
"喬治桑","乔治桑","qiáo zhì sāng",,,,,"George Sand (u.E.) (S","George Sand",
"工資稅","工资税","gōng zī shuì",,,,,"Lohnsteuer (u.E.) (S","charges sociales",
"親油性","亲油性","qīn yóu xìng",,,,,"oleophil (u.E.) (Adj",,
"用什麼","用什么","yòng shí me",,,,,"womit (u.E.) (Adv",,
"土荊芥","土荆芥","tǔ jīng jiè",,,,,,"Épazote",
"豆芽兒","豆芽儿","dòu yá ér",,,,,"Bohnensprossen (u.E.) (S",,
"吉林省","吉林省","jí lín shěng",,,,"Jilin province (Kirin) in northeast China, abbr. 吉, capital Changchun 長春|长春","Provinz Jilin (China) (u.E.) (Eig, Geo","Jilin",
"組裝廠","组装厂","zǔ zhuāng chǎng",,,,,"Montagefirma (u.E.) (S",,
"豆餅肥","豆饼肥","dòu bǐng féi",,,,,"Sojapresskuchen (u.E.) (Eig",,
"書名號","书名号","shū míng hào",,,,"Chinese guillemet 《》(punct. used for names of books etc)","Anführungszeichen (u.E.) (S","guillemet chinois",
"三葉結","三叶结","sān yè jié",,,,,,"noeud de trèfle",
"轉接頭","转接头","zhuǎn jiē tóu",,,,,"Dichtkopf (u.E.) (S)
Drehdurchführung (u.E.",,
"巫山縣","巫山县","wū shān xiàn",,,,"Wushan county in Wanzhou suburbs of north Chongqing municipality, formerly in Sichuan","Kreis Wushan (regierungsunmittelbare Stadt Chongqing, China) (Eig, Geo","Xian de Wushan (Chongqing)",
"宿松縣","宿松县","sù sōng xiàn",,,,"Susong county in Anqing 安慶|安庆[ān qìng], Anhui",,"Xian de Susong",
"靈巧地","灵巧地","líng qiǎo de",,,,,"gewandt (u.E.) (Adj",,
